32a16bebfd630a1f68dce11e46a889 713 2139 100   	0.0386136 0.107761 0.0445764   	0.0697232 0.279369 0.0861485   	0.0685257 0.21263 0.000650426
7ab5c0e0f5eeeffabd02d82b04f4bd 713 2139 100   	0.0390389 0.112857 0.0476538   	0.0711091 0.27804 0.079233   	0.0684146 0.194453 0.000502912
f2c04e87d405b3c93f56c44e5c746d 891 2673 100   	0.0413683 0.120857 0.0480691   	0.0725647 0.411415 0.0954225   	0.0730602 0.346099 0.000710848
1ca29395996b663eeda7c321961d10 891 2673 100   	0.0414306 0.120378 0.046134   	0.0728214 0.415131 0.0961828   	0.0737771 0.35912 0.000684061
fa5a1c53ea6e67a98c093f372bd80c 891 2673 100   	0.0404167 0.124863 0.0489386   	0.0737534 0.436324 0.103819   	0.0732687 0.345712 0.000736667
3a45b6730b913df08a63c14b5924db 891 2673 100   	0.0413478 0.11936 0.0491369   	0.0728812 0.435803 0.103696   	0.0731921 0.356838 0.000731833
8a5618885ef64ee93fbd3b06979d3f 891 2673 100   	0.0402436 0.121896 0.047075   	0.073805 0.43302 0.102751   	0.0751272 0.348755 0.000741227
bc722cd273da8ddb9bb6cc2e91ee08 891 2673 100   	0.041391 0.121864 0.0469757   	0.0731436 0.431706 0.102748   	0.0752602 0.344313 0.000574621
b809a6a6c1bb81966dbdec25914e10 1113 3339 100   	0.0473277 0.124785 0.0555785   	0.0872087 0.339022 0.113578   	0.0873237 0.252651 0.000690014
8c202d3853c126d27e6ef5e4dba716 1113 3339 100   	0.0477239 0.12626 0.0547348   	0.0882473 0.352169 0.118976   	0.0889086 0.24276 0.00075927
acd185e1d5cf695d871f66d539a145 1113 3339 100   	0.0478589 0.128979 0.0561709   	0.0902057 0.342541 0.116101   	0.0873871 0.250024 0.000641541
a61928d47a77fc45eaf0f497a74ca6 1113 3339 100   	0.0479414 0.125015 0.0538781   	0.0885119 0.340678 0.117472   	0.0900768 0.233344 0.000591446
6484eaf7ae455d51a5e28f3a08401d 1113 3339 100   	0.0476399 0.125105 0.0543733   	0.0898377 0.337322 0.114175   	0.089405 0.234468 0.000593297
d31191106f462633e4da75acd2cd0e 1113 3339 100   	0.0478705 0.125778 0.0556812   	0.089507 0.34486 0.115835   	0.0890009 0.244499 0.000766514
be21934d3ec6598a24fce8335e19e5 1391 4173 100   	0.0514139 0.135553 0.0633585   	0.0941854 0.450778 0.119587   	0.0955609 0.388355 0.000739603
10ba92e5b6357eaf9bb33abce14365 1391 4173 100   	0.0520719 0.134457 0.0620683   	0.0957517 0.451652 0.125614   	0.094038 0.361397 0.000806397
c35f6970dce8ddf86fc80f9f24cc95 1391 4173 100   	0.052026 0.140884 0.0641165   	0.0961786 0.462316 0.12573   	0.0949187 0.35758 0.000813559
67a6094be122c3019b56e8197d4121 1391 4173 100   	0.0519683 0.136096 0.0615934   	0.0952725 0.450639 0.130413   	0.0959877 0.382566 0.000814838
17fedeb9223ebb15b6b1159b4b8dda 1391 4173 100   	0.0510424 0.137092 0.0611427   	0.0962984 0.443945 0.131731   	0.09682 0.369098 0.000631059
d2da35a6ac6398b758c93a27d85afd 1391 4173 100   	0.0514517 0.136831 0.0618349   	0.0967704 0.453837 0.135466   	0.0959267 0.367747 0.000821765
e4c934118eb751f24c147feb100f01 1738 5214 100   	0.0547328 0.130477 0.0597132   	0.0946953 0.400858 0.129141   	0.0958452 0.306566 0.000844641
b513e3b7dd55773376ca25e05f5b2d 1738 5214 100   	0.054442 0.129119 0.0590232   	0.0944919 0.410495 0.124769   	0.0970314 0.292703 0.000813872
d178fb4fb022a111d5337b2764bb19 1738 5214 100   	0.0541615 0.128681 0.0599964   	0.0956729 0.413321 0.124499   	0.0964155 0.287203 0.000838936
e5e7d1dc6a528407dbc9854163b841 1738 5214 100   	0.0545853 0.132414 0.0623023   	0.0963209 0.406331 0.127473   	0.0957626 0.299165 0.00082841
0fc02f9e9712a06632fb87a0a085fe 1738 5214 100   	0.0551744 0.130036 0.0598001   	0.0961929 0.39234 0.12381   	0.0967809 0.280607 0.000642962
d47c847d487eaed00e960d6822cc94 1738 5214 100   	0.0546584 0.134735 0.0621188   	0.0964338 0.410242 0.127491   	0.0970124 0.278459 0.000751705
a92a2b58beb8d5ac3684abdbd21d1f 2172 6516 100   	0.0632887 0.184672 0.0799993   	0.114812 0.634411 0.155846   	0.113328 0.481109 0.000886257
771999fe072817f056667e3d7028e5 2172 6516 100   	0.0629124 0.184668 0.0800311   	0.113132 0.621476 0.166428   	0.115933 0.472235 0.000764129
